direction,dataset,tier,method,rmse,se,n_eval
forward,gap_n12,baseline,const,0.2338,0.0076,225
forward,gap_n12,baseline,kre,0.2116,0.005,225
forward,gap_n12,baseline,cdp1,0.0306,0.0015,225
forward,gap_n12,minimal,gbm,0.1075,0.0026,225
forward,gap_n12,minimal,mlp,0.1141,0.007,225
forward,gap_n12,full,gbm,0.1079,0.002,225
forward,gap_n12,full,mlp,0.7246,0.0082,225
forward,gap_n12,probe,gbm,0.1075,0.0022,225
forward,gap_n12,probe,mlp,0.7451,0.009,225
reverse,gap_n12,baseline,const,0.3567,0.0209,225
reverse,gap_n12,baseline,kre,0.5885,0.0204,225
reverse,gap_n12,baseline,cdp1,0.2111,0.0256,225
reverse,gap_n12,minimal,gbm,0.2972,0.0229,225
reverse,gap_n12,minimal,mlp,0.2269,0.0257,225
reverse,gap_n12,full,gbm,0.2985,0.0221,225
reverse,gap_n12,full,mlp,0.6936,0.0113,225
reverse,gap_n12,probe,gbm,0.2865,0.0201,225
reverse,gap_n12,probe,mlp,0.4883,0.0096,225
forward,gap_n10,baseline,const,0.1762,0.006,150
forward,gap_n10,baseline,kre,0.1051,0.004,150
forward,gap_n10,baseline,cdp1,0.0335,0.0015,150
forward,gap_n10,minimal,gbm,0.0526,0.0014,150
forward,gap_n10,minimal,mlp,0.097,0.0034,150
forward,gap_n10,full,gbm,0.0544,0.0013,150
forward,gap_n10,full,mlp,0.1037,0.0039,150
forward,gap_n10,probe,gbm,0.0552,0.0016,150
forward,gap_n10,probe,mlp,0.1005,0.0032,150
reverse,gap_n10,baseline,const,0.3953,0.0217,150
reverse,gap_n10,baseline,kre,0.5272,0.0224,150
reverse,gap_n10,baseline,cdp1,0.2217,0.0236,150
reverse,gap_n10,minimal,gbm,0.3145,0.0236,150
reverse,gap_n10,minimal,mlp,0.2439,0.0245,150
reverse,gap_n10,full,gbm,0.3103,0.0227,150
reverse,gap_n10,full,mlp,0.2232,0.0218,150
reverse,gap_n10,probe,gbm,0.3048,0.0211,150
reverse,gap_n10,probe,mlp,0.2164,0.0218,150
forward,rand_n10,baseline,const,0.196,0.0122,150
forward,rand_n10,baseline,kre,0.1919,0.0126,150
forward,rand_n10,baseline,cdp1,0.1615,0.0158,150
forward,rand_n10,minimal,gbm,0.1432,0.0139,150
forward,rand_n10,minimal,mlp,0.1496,0.0154,150
forward,rand_n10,full,gbm,0.1211,0.0138,150
forward,rand_n10,full,mlp,0.2974,0.009,150
forward,rand_n10,probe,gbm,0.1211,0.0125,150
forward,rand_n10,probe,mlp,0.2509,0.0101,150
reverse,rand_n10,baseline,const,0.2908,0.015,150
reverse,rand_n10,baseline,kre,0.2811,0.0161,150
reverse,rand_n10,baseline,cdp1,0.2463,0.0171,150
reverse,rand_n10,minimal,gbm,0.2232,0.0161,150
reverse,rand_n10,minimal,mlp,0.2245,0.0179,150
reverse,rand_n10,full,gbm,0.2254,0.0171,150
reverse,rand_n10,full,mlp,0.3113,0.016,150
reverse,rand_n10,probe,gbm,0.218,0.0152,150
reverse,rand_n10,probe,mlp,0.2616,0.0143,150
