heuristic,feature_set,size,rep,method,rmse_log10
gap,minimal,50,0,gbm,0.55582325732482
gap,minimal,50,0,mlp,0.20770102506848498
gap,minimal,50,1,gbm,0.5086874697296425
gap,minimal,50,1,mlp,0.20572538421577988
gap,minimal,50,2,gbm,0.553247986601435
gap,minimal,50,2,mlp,0.2159858319677512
gap,minimal,100,0,gbm,0.37796074234323723
gap,minimal,100,0,mlp,0.20381439432561538
gap,minimal,100,1,gbm,0.3694686679225579
gap,minimal,100,1,mlp,0.2001358325675607
gap,minimal,100,2,gbm,0.3776362982013648
gap,minimal,100,2,mlp,0.2126024167657474
gap,minimal,200,0,gbm,0.319333737116242
gap,minimal,200,0,mlp,0.20238028061618188
gap,minimal,200,1,gbm,0.31725570680813353
gap,minimal,200,1,mlp,0.20084952141924114
gap,minimal,200,2,gbm,0.26142559293174134
gap,minimal,200,2,mlp,0.20182398693368042
gap,minimal,400,0,gbm,0.291546655959612
gap,minimal,400,0,mlp,0.19934597992562736
gap,minimal,400,1,gbm,0.2563238616996135
gap,minimal,400,1,mlp,0.19972196905541656
gap,minimal,400,2,gbm,0.250389480528972
gap,minimal,400,2,mlp,0.19984196252563677
gap,minimal,800,0,gbm,0.25537567509756437
gap,minimal,800,0,mlp,0.199531187160115
gap,minimal,800,1,gbm,0.2536158592480874
gap,minimal,800,1,mlp,0.20022794721821754
gap,minimal,800,2,gbm,0.25353379057611364
gap,minimal,800,2,mlp,0.19983333011417384
gap,minimal,1050,0,gbm,0.23747179965460535
gap,minimal,1050,0,mlp,0.19961470334468698
gap,minimal,1050,1,gbm,0.2388266160921226
gap,minimal,1050,1,mlp,0.19916147914617296
gap,minimal,1050,2,gbm,0.24234805986202157
gap,minimal,1050,2,mlp,0.19982996599790223
gap,full,50,0,gbm,0.2802374035677666
gap,full,50,0,mlp,0.7553033661292338
gap,full,50,1,gbm,0.2743099688689846
gap,full,50,1,mlp,0.5792904986031298
gap,full,50,2,gbm,0.2674429756846095
gap,full,50,2,mlp,0.4674943719686483
gap,full,100,0,gbm,0.25842999691823
gap,full,100,0,mlp,0.5265163917173615
gap,full,100,1,gbm,0.25258103246316455
gap,full,100,1,mlp,0.38420086759940114
gap,full,100,2,gbm,0.22650427167352344
gap,full,100,2,mlp,0.2745003020609587
gap,full,200,0,gbm,0.2329893661594075
gap,full,200,0,mlp,0.2974720437455591
gap,full,200,1,gbm,0.23804986763074762
gap,full,200,1,mlp,0.2585313690641743
gap,full,200,2,gbm,0.23084969570981356
gap,full,200,2,mlp,0.22723762196815062
gap,full,400,0,gbm,0.24121309215034323
gap,full,400,0,mlp,0.26456018809035475
gap,full,400,1,gbm,0.21391491828870154
gap,full,400,1,mlp,0.22561633273303267
gap,full,400,2,gbm,0.21063347501829474
gap,full,400,2,mlp,0.21249074693574974
gap,full,800,0,gbm,0.2030571584088168
gap,full,800,0,mlp,0.2082132158578273
gap,full,800,1,gbm,0.21216796341847122
gap,full,800,1,mlp,0.20586741466833097
gap,full,800,2,gbm,0.20563642489174963
gap,full,800,2,mlp,0.19778413321049315
gap,full,1050,0,gbm,0.20685616730452358
gap,full,1050,0,mlp,0.19855533926558488
gap,full,1050,1,gbm,0.2072192055133074
gap,full,1050,1,mlp,0.20474642676245133
gap,full,1050,2,gbm,0.21004711082592395
gap,full,1050,2,mlp,0.19491749653423035
rand,minimal,50,0,gbm,0.7550533505697712
rand,minimal,50,0,mlp,0.6477234786007515
rand,minimal,50,1,gbm,0.7286324600179306
rand,minimal,50,1,mlp,0.5862209528649353
rand,minimal,50,2,gbm,0.7439523356108866
rand,minimal,50,2,mlp,0.6133368827462301
rand,minimal,100,0,gbm,0.7127747479700643
rand,minimal,100,0,mlp,0.6001454375735099
rand,minimal,100,1,gbm,0.6369027151008816
rand,minimal,100,1,mlp,0.5861103464112999
rand,minimal,100,2,gbm,0.6790989802523745
rand,minimal,100,2,mlp,0.6081875239830014
rand,minimal,200,0,gbm,0.618743003952369
rand,minimal,200,0,mlp,0.584887209474857
rand,minimal,200,1,gbm,0.6511958987496719
rand,minimal,200,1,mlp,0.5822830474478118
rand,minimal,200,2,gbm,0.6162196186999179
rand,minimal,200,2,mlp,0.5836739399999135
