heuristic,feature_set,size,rep,method,rmse_log10
gap,minimal,50,0,gbm,0.55582325732482
gap,minimal,50,0,mlp,0.20770102506848498
gap,minimal,50,1,gbm,0.5086874697296425
gap,minimal,50,1,mlp,0.20572538421577988
gap,minimal,50,2,gbm,0.553247986601435
gap,minimal,50,2,mlp,0.2159858319677512
gap,minimal,50,3,gbm,0.5598345717235099
gap,minimal,50,3,mlp,0.22581366921709034
gap,minimal,50,4,gbm,0.3877688125182595
gap,minimal,50,4,mlp,0.20406716724522353
gap,minimal,50,5,gbm,0.4450923986555455
gap,minimal,50,5,mlp,0.23675975258212967
gap,minimal,50,6,gbm,0.5202833494381851
gap,minimal,50,6,mlp,0.21294176892091465
gap,minimal,50,7,gbm,0.6813689879674932
gap,minimal,50,7,mlp,0.27846798896015745
gap,minimal,50,8,gbm,0.39660034026835245
gap,minimal,50,8,mlp,0.21118266945250516
gap,minimal,50,9,gbm,0.533194709361077
gap,minimal,50,9,mlp,0.2065738987213073
gap,minimal,100,0,gbm,0.37796074234323723
gap,minimal,100,0,mlp,0.20381439432561538
gap,minimal,100,1,gbm,0.3694686679225579
gap,minimal,100,1,mlp,0.2001358325675607
gap,minimal,100,2,gbm,0.3776362982013648
gap,minimal,100,2,mlp,0.2126024167657474
gap,minimal,100,3,gbm,0.37618800639880495
gap,minimal,100,3,mlp,0.22076170583019242
gap,minimal,100,4,gbm,0.3671011168143865
gap,minimal,100,4,mlp,0.20020529261367112
gap,minimal,100,5,gbm,0.3770173637380295
gap,minimal,100,5,mlp,0.20855549306162538
gap,minimal,100,6,gbm,0.3702738062240638
gap,minimal,100,6,mlp,0.20368368271018053
gap,minimal,100,7,gbm,0.36809998129769994
gap,minimal,100,7,mlp,0.20307414553040176
gap,minimal,100,8,gbm,0.37419202061172513
gap,minimal,100,8,mlp,0.20292772964844696
gap,minimal,100,9,gbm,0.37126184312932997
gap,minimal,100,9,mlp,0.20238691093986344
gap,minimal,200,0,gbm,0.319333737116242
gap,minimal,200,0,mlp,0.20238028061618188
gap,minimal,200,1,gbm,0.31725570680813353
gap,minimal,200,1,mlp,0.20084952141924114
gap,minimal,200,2,gbm,0.26142559293174134
gap,minimal,200,2,mlp,0.20182398693368042
gap,minimal,200,3,gbm,0.32015880277906505
gap,minimal,200,3,mlp,0.20189191038664217
gap,minimal,200,4,gbm,0.31240498811378953
gap,minimal,200,4,mlp,0.20130396593647246
gap,minimal,200,5,gbm,0.3185740721179526
gap,minimal,200,5,mlp,0.20756632744053105
gap,minimal,200,6,gbm,0.3068755476301524
gap,minimal,200,6,mlp,0.20335457701892928
gap,minimal,200,7,gbm,0.34655211945626574
gap,minimal,200,7,mlp,0.19983589626584092
gap,minimal,200,8,gbm,0.2649443735593438
gap,minimal,200,8,mlp,0.20248557180984517
gap,minimal,200,9,gbm,0.3183750783298132
gap,minimal,200,9,mlp,0.20109182128841363
gap,minimal,400,0,gbm,0.291546655959612
gap,minimal,400,0,mlp,0.19934597992562736
gap,minimal,400,1,gbm,0.2563238616996135
gap,minimal,400,1,mlp,0.19972196905541656
gap,minimal,400,2,gbm,0.250389480528972
gap,minimal,400,2,mlp,0.19984196252563677
gap,minimal,400,3,gbm,0.2907943568105355
gap,minimal,400,3,mlp,0.2002023352516518
gap,minimal,400,4,gbm,0.2537178608624505
gap,minimal,400,4,mlp,0.2009205602379847
gap,minimal,400,5,gbm,0.2548581127995173
gap,minimal,400,5,mlp,0.20323917122080518
gap,minimal,400,6,gbm,0.29494549292879924
gap,minimal,400,6,mlp,0.20166265856528573
gap,minimal,400,7,gbm,0.25390925904734807
gap,minimal,400,7,mlp,0.19925503461239674
gap,minimal,400,8,gbm,0.2616721702066975
gap,minimal,400,8,mlp,0.1999699567862238
gap,minimal,400,9,gbm,0.2547005705166784
gap,minimal,400,9,mlp,0.20045761775518461
gap,minimal,800,0,gbm,0.25537567509756437
gap,minimal,800,0,mlp,0.199531187160115
gap,minimal,800,1,gbm,0.2536158592480874
gap,minimal,800,1,mlp,0.20022794721821754
gap,minimal,800,2,gbm,0.25353379057611364
gap,minimal,800,2,mlp,0.19983333011417384
gap,minimal,800,3,gbm,0.25257380373087646
gap,minimal,800,3,mlp,0.20024660275511613
