feature,importance_mean,importance_std
max_displacement,0.005372694669526004,0.0035806061662079186
first_gap_pos,0.014574924057706735,0.003756375700681242
inversions,0.029029468908845925,0.0058632128841895545
num_fixed_suffix,0.03099289137503285,0.005873260943750869
mean_displacement,0.036149317484039226,0.005401408664951328
plate_gap,0.04213594995344027,0.008636389513579553
h_gap2,0.06750404980007349,0.00516747841402154
h_gap,0.11764031380498878,0.006727523049392348
slack_rand,0.1186316588921972,0.010263269385110527
slack_gap2,0.2319733920482331,0.012894690980858138
h_rand,0.40572095988007256,0.015195010180569818
bound,0.7263277741970714,0.023045058473711036
slack_gap,0.9374611566646515,0.022312030773295573
