heuristic,seed,method,rmse_log10
gap,0,gbm_full,0.20622269628977138
gap,0,mlp_full,0.19857591497965235
gap,0,gbm_minimal,0.24124292462902097
gap,0,mlp_minimal,0.19935805651735353
gap,0,cdp1,0.3077005027122436
gap,0,kre,1.1718699124243763
gap,1,gbm_full,0.21580196196975907
gap,1,mlp_full,0.20129251509879378
gap,1,gbm_minimal,0.20600288378316065
gap,1,mlp_minimal,0.19713353167959144
gap,1,cdp1,0.2966956873693669
gap,1,kre,1.1276619926018565
gap,2,gbm_full,0.2039172736305557
gap,2,mlp_full,0.19654441907094874
gap,2,gbm_minimal,0.1925285588772829
gap,2,mlp_minimal,0.1915845854411537
gap,2,cdp1,0.3071507016036494
gap,2,kre,1.1424018900734265
gap,3,gbm_full,0.19332650537450427
gap,3,mlp_full,0.18307761028231295
gap,3,gbm_minimal,0.1838096857875048
gap,3,mlp_minimal,0.1764540453290503
gap,3,cdp1,0.28646403041968993
gap,3,kre,1.086138757047176
gap,4,gbm_full,0.1926158733353798
gap,4,mlp_full,0.1892059354174293
gap,4,gbm_minimal,0.18231608394024468
gap,4,mlp_minimal,0.18219169802896898
gap,4,cdp1,0.30141916012537795
gap,4,kre,1.1498667510164517
rand,0,gbm_full,0.2601030202287259
rand,0,mlp_full,0.24505388373028225
rand,0,gbm_minimal,0.5801558391799136
rand,0,mlp_minimal,0.5792048830313699
rand,0,cdp1,0.8341377557062893
rand,0,kre,1.7786050149444332
rand,1,gbm_full,0.26298572310274565
rand,1,mlp_full,0.2640514915316436
rand,1,gbm_minimal,0.5671335705596857
rand,1,mlp_minimal,0.5638300098589737
rand,1,cdp1,0.8429191461359351
rand,1,kre,1.7957793611956165
rand,2,gbm_full,0.27834159871624975
rand,2,mlp_full,0.26070572087417726
rand,2,gbm_minimal,0.5157569498402614
rand,2,mlp_minimal,0.5206045750558332
rand,2,cdp1,0.7917418178950879
rand,2,kre,1.7466339561855946
rand,3,gbm_full,0.2514743844166464
rand,3,mlp_full,0.2593526094667057
rand,3,gbm_minimal,0.5697573450525946
rand,3,mlp_minimal,0.5704417891082333
rand,3,cdp1,0.7827227788230922
rand,3,kre,1.6854575634675684
rand,4,gbm_full,0.27337400607274126
rand,4,mlp_full,0.25732646364450884
rand,4,gbm_minimal,0.6018922584132805
rand,4,mlp_minimal,0.6011172412694951
rand,4,cdp1,0.8539984453181231
rand,4,kre,1.8074259679171716
